Reg,1,Adjara
Reg,2,Guria
Reg,3,Tbilisi
Reg,4,Imereti
Reg,5,Kakheti
Reg,6,Mtskheta-Mtianeti
Reg,7,Samegrelo / Zemo Svaneti
Reg,8,Samtskhe-Javakheti
Reg,9,Kvemo Kartli
Reg,10,Shida Kartli
A1,1,Employed
A1,2,Temporarily not working because of temporary illness/parental leave/vacation
A1,3,Self-employed
A1,4,Unemployed
A2,1,Yes
A2,2,No
A3,1,Yes
A3,2,"Yes, with one/some of my employers (in case of having many jobs)"
A3,3,No
A3.1_3,1,Yes
A3.1_3,2,No
A3.1_3,3,Limited time frame
A3.1_3,8,filter
A3.2,1,Yes
A3.2,2,No
A3.2,3,I don't know
A3.2,8,filter
A3.3,1,Yes
A3.3,2,No
A3.3,3,I don't know
A3.3,8,filter
A4.1,1,Full time
A4.1,2,Part time
A4.1,3,Work in shifts
A4.1,4,Other
A4.2,1,Yea
A4.2,2,No
A4.2,8,filter
A5,1,Yes
A5,2,No
A5.1,1,Tbilisi
A5.1,2,Suburbs or outskirts of Tbilisi
A5.1,3,Town
A5.1,4,Village
A5.1,5,Farm or home in the countryside
A5.1,8,filter
A6,1,Private sector
A6,2,Public sector
A6,3,NGO
A6,4,Other
A7,1,"Agriculture, forestry and fishing"
A7,2,Mining and quarrying
A7,3,Manufacturing
A7,4,"Electricity, gas, steam and air conditioning supply"
A7,5,"Water supply, sewerage, waste management and remediation activities"
A7,6,Construction
A7,7,Wholesale and retail trade
A7,8,Transportation and storage
A7,9,Driver / pilot
A7,10,Accommodation and food services
A7,11,information and communication
A7,12,Finances and insurance
A7,13,real estate activities
A7,14,sciences
A7,15,Social sciences
A7,16,"professional technical activities (engineer, IT, computer masters)"
A7,17,"administrative and assistant services (secretary, office worker)"
A7,18,"Public administration (ministries, city halls, municipalities)"
A7,19,"armed forces and mandatory social security (police, firemen, military police)"
A7,20,Education
A7,21,"Health system (physician, nurse, emergency)"
A7,22,Activities in social work (social worker)
A7,23,Pharmacy
A7,24,managers (directors)
A7,25,"craft, worker, guard,  repair of motor vehicles and motorcycles"
A7,26,"Assistance in household matters, cleaning, cook, bakery"
A7,27,Art
A7,28,Legal system
A7,29,Sports
A7,30,NGO
A7,31,political parties
A8,1,"Agriculture, forestry and fishing"
A8,2,Mining and quarrying
A8,3,Manufacturing
A8,4,"Electricity, gas, steam and air conditioning supply"
A8,5,"Water supply, sewerage, waste management and remediation activities"
A8,6,Construction
A8,7,Wholesale and retail trade
A8,8,Transportation and storage
A8,9,Driver / pilot
A8,10,Accommodation and food services
A8,11,information and communication
A8,12,Finances and insurance
A8,13,real estate activities
A8,14,Sciences
A8,15,Social sciences
A8,16,"professional technical activities (engineer, IT, computer masters)"
A8,17,"administrative and assistant services (secretary, office worker)"
A8,18,"Public administration (ministries, city halls, municipalities)"
A8,19,"armed forces and mandatory social security (police, firemen, military police)"
A8,20,Education
A8,21,"Health system (physician, nurse, emergency)"
A8,22,Activities in social work (social worker)
A8,23,Pharmacy
A8,24,managers (directors)
A8,25,"craft, worker, guard,  repair of motor vehicles and motorcycles"
A8,26,"Assistance in household matters, cleaning, cook, bakery"
A8,27,Art
A8,28,Legal system
A8,29,Sports
A8,30,NGO
A8,31,political parties
A9,1,I work alone / I don’t have colleagues
A9,2,Mostly women
A9,3,Mostly men
A9,4,Approximately same amount of men and women
A9,5,I don't know
A10,1,"Yes, I would like to have more women among my colleagues"
A10,2,"Yes, I would like to have more men among my colleagues"
A10,3,"I would like, but men/women couldn’t do the work"
A10,4,No I like it as it is
A10,5,I don't care
A10,6,Other
A11,1,With women
A11,2,With men
A11,3,Both men and women
A12,1,Male
A12,2,Female
A12,3,I don't have one
A13,1,"Yes, currently"
A13,2,"Yes, previously but not currently"
A13,3,"No, never"
B1,1,Yes
B1,2,No
B1.1,1,Once
B1.1,2,2-4 times
B1.1,3,5-7 times
B1.1,4,8-10 times
B1.1,5,More than 10 times
B1.1,6,Don't remember
B1.1,8,filter
B1.2_1,1,Yes
B1.2_1,2,No
B1.2_1,3,N/A
B1.2_1,8,filter
B1.2_2,1,Yes
B1.2_2,2,No
B1.2_2,3,N/A
B1.2_2,8,filter
B1.2_3,1,Yes
B1.2_3,2,No
B1.2_3,3,N/A
B1.2_3,8,filter
B1.2_4,1,Yes
B1.2_4,2,No
B1.2_4,3,N/A
B1.2_4,8,filter
B1.2_5,1,Yes
B1.2_5,2,No
B1.2_5,3,N/A
B1.2_5,8,filter
B1.2_6,1,Yes
B1.2_6,2,No
B1.2_6,3,N/A
B1.2_6,8,filter
B2,1,Through my friend/acquaintance/relative
B2,2,"I found the job by myself, without help from others"
B2,3,Other
B3,1,No
B3,2,Yes
B3.1,1,Yes
B3.1,2,No
B3.1,8,filter
B3.2_1,1,Yes
B3.2_1,2,No
B3.2_1,8,filter
B3.2_2,1,Yes
B3.2_2,2,No
B3.2_2,8,filter
B3.2_3,1,Yes
B3.2_3,2,No
B3.2_3,8,filter
B3.2_4,1,Yes
B3.2_4,2,No
B3.2_4,8,filter
B3.2_5,1,Yes
B3.2_5,2,No
B3.2_5,8,filter
B3.2_6,1,Yes
B3.2_6,2,No
B3.2_6,8,filter
B3.2_7,1,Yes
B3.2_7,2,No
B3.2_7,8,filter
B3.2_8,1,Yes
B3.2_8,2,No
B3.2_8,8,filter
B3.2_9,1,Yes
B3.2_9,2,No
B3.2_9,8,filter
B3.2_10,1,Yes
B3.2_10,2,No
B3.2_10,8,filter
B3.2_11,1,Yes
B3.2_11,2,No
B3.2_11,8,filter
B3.2_12,1,Yes
B3.2_12,2,No
B3.2_12,8,filter
B3.2_13,1,Yes
B3.2_13,2,No
B3.2_13,8,filter
B3.2_14,1,Yes
B3.2_14,2,No
B3.2_14,8,filter
B3.3_1,1,Yes
B3.3_1,2,No
B3.3_1,8,filter
B3.3_2,1,Yes
B3.3_2,2,No
B3.3_2,8,filter
B3.3_3,1,Yes
B3.3_3,2,No
B3.3_3,8,filter
B3.3_4,1,Yes
B3.3_4,2,No
B3.3_4,8,filter
B3.3_5,1,Yes
B3.3_5,2,No
B3.3_5,8,filter
B3.3_6,1,Yes
B3.3_6,2,No
B3.3_6,8,filter
B3.3_7,1,Yes
B3.3_7,2,No
B3.3_7,8,filter
B3.3_8,1,Yes
B3.3_8,2,No
B3.3_8,8,filter
B3.3_9,1,Yes
B3.3_9,2,No
B3.3_9,8,filter
B3.3_10,1,Yes
B3.3_10,2,No
B3.3_10,8,filter
B3.3_11,1,Yes
B3.3_11,2,No
B3.3_11,8,filter
B3.3_12,1,Yes
B3.3_12,2,No
B3.3_12,8,filter
B3.3_13,1,Yes
B3.3_13,2,No
B3.3_13,8,filter
B3.3_14,1,Yes
B3.3_14,2,No
B3.3_14,8,filter
B4,1,Yes
B4,2,No
B4.1_1,1,Yes
B4.1_1,2,No
B4.1_1,8,filter
B4.1_2,1,Yes
B4.1_2,2,No
B4.1_2,8,filter
B4.1_3,1,Yes
B4.1_3,2,No
B4.1_3,8,filter
B4.1_4,1,Yes
B4.1_4,2,No
B4.1_4,8,filter
B5_1,1,Yes
B5_1,2,No
B5_2,1,Yes
B5_2,2,No
B5_3,1,Yes
B5_3,2,No
B5_4,1,Yes
B5_4,2,No
B5_5,1,Yes
B5_5,2,No
B6_1,1,Yes
B6_1,2,No
B6_2,1,Yes
B6_2,2,No
B6_3,1,Yes
B6_3,2,No
B6_4,1,Yes
B6_4,2,No
B6_5,1,Yes
B6_5,2,No
B6_6,1,Yes
B6_6,2,No
C1,1,Yes
C1,2,No
C1,3,I have worked here less than 3 months and have no such experience so far
C1.1,1,I applied for the job/promotion
C1.1,2,I was offered the higher position
C1.1,3,Other
C1.1,8,filter
C1.2,1,Yes
C1.2,2,No
C1.2,8,filter
C1.3,1,Yes
C1.3,2,No
C1.3,8,filter
C1.3.1_1,1,Yes
C1.3.1_1,2,No
C1.3.1_1,8,filter
C1.3.1_2,1,Yes
C1.3.1_2,2,No
C1.3.1_2,8,filter
C1.3.1_3,1,Yes
C1.3.1_3,2,No
C1.3.1_3,8,filter
C1.3.1_4,1,Yes
C1.3.1_4,2,No
C1.3.1_4,8,filter
C1.3.1_5,1,Yes
C1.3.1_5,2,No
C1.3.1_5,8,filter
C1.3.1_6,1,Yes
C1.3.1_6,2,No
C1.3.1_6,8,filter
C1.3.1_7,1,Yes
C1.3.1_7,2,No
C1.3.1_7,8,filter
C1.3.1_8,1,Yes
C1.3.1_8,2,No
C1.3.1_8,8,filter
C1.3.1_9,1,Yes
C1.3.1_9,2,No
C1.3.1_9,8,filter
C1.3.1_10,1,Yes
C1.3.1_10,2,No
C1.3.1_10,8,filter
C1.3.1_11,1,Yes
C1.3.1_11,2,No
C1.3.1_11,8,filter
C1.3.2_1,1,Yes
C1.3.2_1,2,No
C1.3.2_1,8,filter
C1.3.2_2,1,Yes
C1.3.2_2,2,No
C1.3.2_2,8,filter
C1.3.2_3,1,Yes
C1.3.2_3,2,No
C1.3.2_3,8,filter
C1.3.2_4,1,Yes
C1.3.2_4,2,No
C1.3.2_4,8,filter
C1.3.2_5,1,Yes
C1.3.2_5,2,No
C1.3.2_5,8,filter
C2,1,Yes
C2,2,No
C2,3,Other
C2,8,filter
C3,1,Yes
C3,2,No
C3,8,filter
C3.1,1,"Mine, I asked for a promotion"
C3.1,2,It was a general pay rise for all of the employees
C3.1,3,It was my manager’s initiative
C3.1,4,Other
C3.1,8,filter
C3.2,1,Yes
C3.2,2,No
C3.2,8,filter
C4,1,Yes
C4,2,No
C4,8,filter
C4.1,1,Yes
C4.1,2,No
C4.1,8,filter
C4.1.1,1,I did not want to
C4.1.1,2,The time of the training wasn’t convenient for me
C4.1.1,3,I was not allowed by my employer
C4.1.1,4,I missed it
C4.1.1,5,Other
C4.1.1,8,filter
