category,0,5,10,15,20,25,30,35,40,45,47
Total,7466.75,52728.92,111205.13,182895.36,267799.62,365917.92,477250.25,601796.6,739556.99,890531.41,922311.98
"Agriculture, hunting and forestry",4267.29,28514.77,57613.94,91564.8,130367.35,174021.6,222527.54,275885.17,334094.49,397155.51,410349.91
Fishing,5207.73,39044.56,85878.41,145709.28,218537.16,304362.06,403183.97,515002.9,639818.85,777631.8,806754.04
Mining and quarrying,11181.21,65868.44,118524.25,169148.64,217741.62,264303.18,308833.33,351332.06,391799.37,430235.28,437678.69
Manufacturing,6535.13,44853.92,92577.95,149707.2,216241.68,292181.4,377526.35,472276.52,576431.93,689992.57,713833.32
"Production and distribution of electricity, gas and water",11920.76,80883.69,165445.14,265605.12,381363.62,512720.64,659676.18,822230.25,1000382.84,1194133.96,1234756.0
Construction,9523.88,69486.09,150019.62,251124.48,372800.66,515048.16,677866.98,861257.13,1065218.6,1289751.4,1337126.51
Wholesale and retail trade; repair of motor vehicles and personal and household goods,6859.83,45378.97,90931.4,143517.12,203136.13,269788.44,343474.04,424192.93,511945.11,606730.59,626531.68
Hotels and restaurants,5161.47,35381.63,72956.5,117886.08,170170.37,229809.36,296803.06,371151.47,452854.59,541912.41,560606.54
Transport and communication,10518.36,73429.34,153538.9,250847.04,365353.77,497059.08,645962.98,812065.46,995366.52,1195866.18,1238029.94
Financial intermediation,14306.86,86485.71,159738.84,234066.24,309467.92,385943.88,463494.12,542118.63,621817.42,702590.48,718874.01
"Real estate, renting and business activities",8837.28,65246.26,142026.26,239177.28,356699.31,494592.36,652856.42,831491.5,1030497.6,1249874.7,1296194.65
Public administration,14214.33,97706.56,201899.81,326794.08,472389.36,638685.66,825682.97,1033381.3,1261780.65,1510881.0,1563185.2
Education,5086.51,36157.02,76624.07,126487.68,185747.84,254404.56,332457.83,419907.66,516754.03,622996.97,645373.14
Health and social work,7032.9,53278.2,117991.5,201172.8,302822.1,422939.4,561524.7,718578.0,894099.3,1088088.6,1129102.62
"Other community, social and personal service activities",7012.28,50038.82,106340.6,175917.6,258769.83,354897.3,464300.0,586977.92,722931.08,872159.47,903598.17
