category,0,5,10,15,20,25,30,35,40,45,47
Total,12019.89,82532.63,170400.88,275624.64,398203.91,538138.68,695428.96,870074.75,1062076.05,1271432.85,1315386.87
"Agriculture, hunting and forestry",6641.46,46085.33,95923.51,156156.0,226782.8,307803.9,399219.31,501029.03,613233.06,735831.39,761598.38
Fishing,6814.72,49641.58,107057.2,179061.6,265654.77,366836.7,482607.4,612966.88,757915.12,917452.13,951110.19
Mining and quarrying,10761.17,71382.25,143362.08,226700.64,321397.94,427453.98,544868.76,673642.27,813774.53,965265.52,996926.77
Manufacturing,9890.46,69251.47,145126.97,237516.96,346421.44,471840.42,613773.89,772221.85,947184.3,1138661.25,1178938.38
"Production and distribution of electricity, gas and water",11732.35,78860.01,160097.55,255444.96,364902.25,488469.42,626146.47,777933.39,943830.19,1123836.86,1161531.38
Construction,12687.7,91335.05,195330.45,324673.92,479365.45,659405.04,864792.69,1095528.41,1351612.18,1633044.02,1692372.15
Wholesale and retail trade; repair of motor vehicles and personal and household goods,10364.22,72059.26,150210.92,244819.2,355884.09,483405.6,627383.72,787818.46,964709.82,1158057.78,1198702.17
Hotels and restaurants,7344.94,47519.38,93443.38,145116.96,202540.11,265712.82,334635.1,409306.96,489728.38,575899.37,593823.52
Transport and communication,14802.6,105332.4,223390.2,368976.0,542089.8,742731.6,970901.4,1226599.2,1509825.0,1820578.8,1886032.92
Financial intermediation,31405.03,202883.75,398451.72,618108.96,861855.46,1129691.22,1421616.24,1737630.53,2077734.07,2441926.88,2517656.15
"Real estate, renting and business activities",11412.51,81447.44,173102.95,286379.04,421275.72,577792.98,755930.83,955689.26,1177068.27,1420067.88,1471262.27
Public administration,14848.03,97882.48,195574.09,307922.88,434928.84,576591.96,732912.25,903889.72,1089524.35,1289816.15,1331633.37
Education,6352.79,45805.98,98074.63,163158.72,241058.26,331773.24,435303.67,551649.54,680810.87,822787.63,852720.84
Health and social work,11577.31,84951.28,184137.61,309136.32,459947.4,636570.84,839006.65,1067254.84,1321315.39,1601188.31,1660260.38
"Other community, social and personal service activities",9968.36,73690.68,160547.26,270538.08,403663.15,559922.46,739316.02,941843.82,1167505.88,1416302.17,1468837.54
