Filter					
					
search				სასიამოვნო გარეგნობ*	0
გათხოვილ*	1			გაწონასწორებულ* და არაკონფლიქტურ*	0
გაწონასწორებულ*	225			გაწონასწორებულ* 	225
მამაკაც*	394			არაკონფლიქტურ*	0
სტაბილურ*	46			დაოჯახებულ*	0
Total Result	666			დასაოჯახებელ*	0
				გათხოვილ*	1
				გასათხოვარ*	0
				უშვილო*	0
				ქალიშვილ*	0
				ქალბატონ*	0
				ახალგაზრდა გოგონა*	0
				ახალგაზრდა მამაკაც*	0
				მამაკაც*	394
				ლამაზ*	0
				სიმპატიურ* სიმპათიურ*	0
				მომხიბვლელ*	0
				ქერა*	0
				სტაბილურ*	46
				სტაბილურ* თანამშრომელ*	0
				დაუოჯახებელ*	0
				გაუთხოვარ*	0
