category,0,5,10,15,20,25,30,35,40,45,47
Total,4553.14,29803.71,59195.76,92729.28,130404.28,172220.76,218178.72,268278.15,322519.06,380901.44,393074.9
"Agriculture, hunting and forestry",2374.17,17570.56,38309.57,64591.2,96415.44,133782.3,176691.77,225143.86,279138.57,338675.88,351248.46
Fishing,1606.99,10597.02,21178.79,33352.32,47117.6,62474.64,79423.43,97963.98,118096.27,139820.33,144356.15
Mining and quarrying,-420.05,5513.82,24837.83,57552.0,103656.32,163150.8,236035.43,322310.22,421975.15,535030.25,559248.08
Manufacturing,3355.33,24397.55,52549.02,87809.76,130179.76,179659.02,236247.54,299945.33,370752.37,448668.68,465105.05
"Production and distribution of electricity, gas and water",-188.42,-2023.68,-5347.6,-10160.16,-16461.37,-24251.22,-33529.72,-44296.86,-56552.66,-70297.09,-73224.62
Construction,3163.82,21848.95,45310.83,73549.44,106564.79,144356.88,186925.71,234271.27,286393.58,343292.62,355245.64
Wholesale and retail trade; repair of motor vehicles and personal and household goods,3504.38,26680.29,59279.52,101302.08,152747.96,213617.16,283909.68,363625.53,452764.7,551327.2,572170.49
Hotels and restaurants,2183.47,12137.75,20486.88,27230.88,32369.74,35903.46,37832.04,38155.49,36873.79,33986.96,33216.98
Transport and communication,4284.24,31903.06,69851.3,118128.96,176736.03,245672.52,324938.42,414533.74,514458.48,624712.62,648002.98
Financial intermediation,17098.17,116398.04,238712.89,384042.72,552387.54,743747.34,958122.13,1195511.9,1455916.65,1739336.4,1798782.14
"Real estate, renting and business activities",2575.24,16201.18,31076.68,47201.76,64576.41,83200.62,103074.4,124197.76,146570.68,170193.17,175067.62
Public administration,633.7,175.92,-6325.72,-18871.2,-37460.53,-62093.7,-92770.72,-129491.58,-172256.3,-221064.85,-231551.83
Education,1266.27,9648.97,21450.56,36671.04,55310.41,77368.68,102845.84,131741.89,164056.83,199790.67,207347.7
Health and social work,4544.41,31673.08,66146.11,107963.52,157125.3,213631.44,277481.95,348676.84,427216.09,513099.71,531157.76
"Other community, social and personal service activities",2956.08,23651.86,54206.66,94620.48,144893.31,205025.16,275016.02,354865.9,444574.8,544142.7,565239.37
